learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.2,5,0.7,200,3,0.741254458,0.996906793,3.813552662,,2.716464819,0.939725734
0.1,7,0.6,300,10,1.629179167,0.985109626,4.213425911,,2.717069215,0.93969891
0.1,8,0.6,400,3,0.28398349,0.999546416,3.619028857,,2.71754278,0.939677888
0.4,7,0.9,100,3,0.313938955,0.999445221,3.686961813,,2.722654226,0.939450754
0.4,7,0.9,200,3,0.121376325,0.999916368,3.602864186,,2.724683774,0.93936045
0.1,8,0.8,400,3,0.256524738,0.99963002,3.660109861,,2.726582512,0.939275906
0.1,6,0.9,400,5,0.764241506,0.996719087,3.690058816,,2.727704104,0.939225937
0.2,5,0.8,400,5,0.418762314,0.999013138,3.505484136,,2.728438074,0.939193226
0.4,7,0.9,300,3,0.112890285,0.999926686,3.60483239,,2.728459688,0.939192263
0.4,7,0.9,400,3,0.11238275,0.999927099,3.605283238,,2.728918633,0.939171805
0.1,7,0.8,400,10,1.262615024,0.991050732,4.110646196,,2.729676771,0.939138002
0.1,7,0.6,400,3,0.385759585,0.999164221,3.504493953,,2.731428297,0.939059871
0.2,7,0.6,100,3,1.074524679,0.993504773,4.037093726,,2.732503213,0.939011898
0.1,8,0.6,300,3,0.460205932,0.998808787,3.680353784,,2.734244762,0.938934132
0.2,3,0.9,300,3,1.253420753,0.991183325,4.006515188,,2.734611363,0.938917756
0.4,7,0.7,200,5,0.216082708,0.999737248,3.62602108,,2.734859218,0.938906683
0.1,8,0.6,200,1,0.386482874,0.99916,3.567144708,,2.739219931,0.938711702
0.3,3,0.7,400,10,1.210620529,0.991769421,4.02413219,,2.741592084,0.938605505
0.2,7,0.8,200,3,0.32622182,0.999401124,3.680067401,,2.742444182,0.938567336
0.4,7,0.7,300,5,0.13231929,0.999901198,3.603733604,,2.742499774,0.938564845
0.1,5,0.8,400,10,1.729234006,0.983209329,4.198560566,,2.742620934,0.938559417
0.2,5,0.8,300,5,0.619902199,0.997836182,3.579357257,,2.743305953,0.938528721
0.1,8,0.7,400,10,1.031310259,0.994031927,3.891280133,,2.743929668,0.938500766
0.2,7,0.8,200,1,0.139382451,0.999890239,3.655267713,,2.743998497,0.93849768
0.4,3,0.6,400,5,0.735139475,0.99695305,3.77264367,,2.744441828,0.938477806
0.2,3,0.8,200,1,1.334101604,0.990010795,3.93611375,,2.746903676,0.938367382
0.4,7,0.7,400,5,0.116282849,0.999923015,3.597618677,,2.748098858,0.938313737
0.2,7,0.8,300,1,0.115313768,0.999923958,3.652318163,,2.748726052,0.938285577
